ship-state,Date,Total_amount
ANDAMAN & NICOBAR ,04-01-22,750.0
ANDAMAN & NICOBAR ,04-02-22,1740.0
ANDAMAN & NICOBAR ,04-03-22,3445.0
ANDAMAN & NICOBAR ,04-04-22,885.0
ANDAMAN & NICOBAR ,04-05-22,2031.81
ANDAMAN & NICOBAR ,04-06-22,2372.0
ANDAMAN & NICOBAR ,04-07-22,920.0
ANDAMAN & NICOBAR ,04-08-22,3521.95
ANDAMAN & NICOBAR ,04-09-22,2486.0
ANDAMAN & NICOBAR ,04-10-22,1073.0
ANDAMAN & NICOBAR ,04-11-22,459.0
ANDAMAN & NICOBAR ,04-13-22,3250.0
ANDAMAN & NICOBAR ,04-14-22,3089.0
ANDAMAN & NICOBAR ,04-15-22,4656.0
ANDAMAN & NICOBAR ,04-16-22,1645.67
ANDAMAN & NICOBAR ,04-17-22,1088.0
ANDAMAN & NICOBAR ,04-18-22,1542.0
ANDAMAN & NICOBAR ,04-19-22,3240.0
ANDAMAN & NICOBAR ,04-20-22,1281.0
ANDAMAN & NICOBAR ,04-21-22,2061.0
ANDAMAN & NICOBAR ,04-22-22,1163.0
ANDAMAN & NICOBAR ,04-23-22,3125.19
ANDAMAN & NICOBAR ,04-24-22,1328.0
ANDAMAN & NICOBAR ,04-25-22,2745.0
ANDAMAN & NICOBAR ,04-26-22,487.0
ANDAMAN & NICOBAR ,04-27-22,1249.11
ANDAMAN & NICOBAR ,04-28-22,1991.0
ANDAMAN & NICOBAR ,04-29-22,671.0
ANDAMAN & NICOBAR ,05-01-22,939.0
ANDAMAN & NICOBAR ,05-02-22,1140.0
ANDAMAN & NICOBAR ,05-03-22,2579.0
ANDAMAN & NICOBAR ,05-04-22,1317.0
ANDAMAN & NICOBAR ,05-05-22,922.0
ANDAMAN & NICOBAR ,05-06-22,626.0
ANDAMAN & NICOBAR ,05-08-22,2960.0
ANDAMAN & NICOBAR ,05-09-22,6643.0
ANDAMAN & NICOBAR ,05-10-22,0.0
ANDAMAN & NICOBAR ,05-11-22,3732.0
ANDAMAN & NICOBAR ,05-12-22,3648.0
ANDAMAN & NICOBAR ,05-13-22,666.0
ANDAMAN & NICOBAR ,05-14-22,2208.0
ANDAMAN & NICOBAR ,05-15-22,2734.0
ANDAMAN & NICOBAR ,05-16-22,1429.81
ANDAMAN & NICOBAR ,05-17-22,1592.29
ANDAMAN & NICOBAR ,05-18-22,3373.29
ANDAMAN & NICOBAR ,05-19-22,1041.29
ANDAMAN & NICOBAR ,05-20-22,493.0
ANDAMAN & NICOBAR ,05-21-22,581.0
ANDAMAN & NICOBAR ,05-22-22,641.0
ANDAMAN & NICOBAR ,05-23-22,634.29
ANDAMAN & NICOBAR ,05-24-22,2497.0
ANDAMAN & NICOBAR ,05-25-22,518.0
ANDAMAN & NICOBAR ,05-26-22,544.0
ANDAMAN & NICOBAR ,05-27-22,2017.0
ANDAMAN & NICOBAR ,05-29-22,380.0
ANDAMAN & NICOBAR ,05-30-22,2644.0
ANDAMAN & NICOBAR ,06-02-22,4255.0
ANDAMAN & NICOBAR ,06-03-22,3692.0
ANDAMAN & NICOBAR ,06-05-22,3390.81
ANDAMAN & NICOBAR ,06-06-22,635.0
ANDAMAN & NICOBAR ,06-07-22,399.0
ANDAMAN & NICOBAR ,06-08-22,2984.0
ANDAMAN & NICOBAR ,06-09-22,1576.0
ANDAMAN & NICOBAR ,06-10-22,799.0
ANDAMAN & NICOBAR ,06-11-22,3742.76
ANDAMAN & NICOBAR ,06-12-22,671.0
ANDAMAN & NICOBAR ,06-13-22,3034.0
ANDAMAN & NICOBAR ,06-14-22,2840.0
ANDAMAN & NICOBAR ,06-15-22,2028.0
ANDAMAN & NICOBAR ,06-16-22,487.0
ANDAMAN & NICOBAR ,06-17-22,3020.0
ANDAMAN & NICOBAR ,06-18-22,2248.0
ANDAMAN & NICOBAR ,06-19-22,1915.5700000000002
ANDAMAN & NICOBAR ,06-20-22,3976.0
ANDAMAN & NICOBAR ,06-21-22,2982.0
ANDAMAN & NICOBAR ,06-22-22,2189.0
ANDAMAN & NICOBAR ,06-23-22,1620.0
ANDAMAN & NICOBAR ,06-24-22,771.0
ANDAMAN & NICOBAR ,06-25-22,2216.7799999999997
ANDAMAN & NICOBAR ,06-26-22,858.0
ANDAMAN & NICOBAR ,06-27-22,0.0
ANDAMAN & NICOBAR ,06-28-22,2487.0
ANDAMAN & NICOBAR ,06-29-22,1111.0
ANDHRA PRADESH,03-31-22,3621.0
ANDHRA PRADESH,04-01-22,35284.91
ANDHRA PRADESH,04-02-22,23370.29
ANDHRA PRADESH,04-03-22,39089.66
ANDHRA PRADESH,04-04-22,37399.33
ANDHRA PRADESH,04-05-22,37334.19
ANDHRA PRADESH,04-06-22,40824.29
ANDHRA PRADESH,04-07-22,39926.01
ANDHRA PRADESH,04-08-22,46825.48
ANDHRA PRADESH,04-09-22,33334.38
ANDHRA PRADESH,04-10-22,36871.95
ANDHRA PRADESH,04-11-22,35942.54
ANDHRA PRADESH,04-12-22,30936.53
ANDHRA PRADESH,04-13-22,36714.82
ANDHRA PRADESH,04-14-22,44041.33
ANDHRA PRADESH,04-15-22,43620.24
ANDHRA PRADESH,04-16-22,27659.42
ANDHRA PRADESH,04-17-22,24780.09
ANDHRA PRADESH,04-18-22,36265.69
ANDHRA PRADESH,04-19-22,36816.9
ANDHRA PRADESH,04-20-22,33054.38
ANDHRA PRADESH,04-21-22,56759.38
ANDHRA PRADESH,04-22-22,45719.0
ANDHRA PRADESH,04-23-22,36393.6
ANDHRA PRADESH,04-24-22,44608.57
ANDHRA PRADESH,04-25-22,28262.33
ANDHRA PRADESH,04-26-22,31070.95
ANDHRA PRADESH,04-27-22,34060.48
ANDHRA PRADESH,04-28-22,25989.9
ANDHRA PRADESH,04-29-22,39330.49
ANDHRA PRADESH,04-30-22,36327.0
ANDHRA PRADESH,05-01-22,41071.1
ANDHRA PRADESH,05-02-22,55707.79
ANDHRA PRADESH,05-03-22,56964.34
ANDHRA PRADESH,05-04-22,56547.5
ANDHRA PRADESH,05-05-22,34499.0
ANDHRA PRADESH,05-06-22,32107.0
ANDHRA PRADESH,05-07-22,32891.1
ANDHRA PRADESH,05-08-22,43394.48
ANDHRA PRADESH,05-09-22,33283.01
ANDHRA PRADESH,05-10-22,28751.53
ANDHRA PRADESH,05-11-22,28264.4
ANDHRA PRADESH,05-12-22,21282.35
ANDHRA PRADESH,05-13-22,40377.68
ANDHRA PRADESH,05-14-22,35838.91
ANDHRA PRADESH,05-15-22,37919.68
ANDHRA PRADESH,05-16-22,35913.58
ANDHRA PRADESH,05-17-22,38414.41
ANDHRA PRADESH,05-18-22,38124.31
ANDHRA PRADESH,05-19-22,34407.59
ANDHRA PRADESH,05-20-22,20934.82
ANDHRA PRADESH,05-21-22,17348.2
ANDHRA PRADESH,05-22-22,17920.76
ANDHRA PRADESH,05-23-22,29339.01
ANDHRA PRADESH,05-24-22,24807.43
ANDHRA PRADESH,05-25-22,36086.0
ANDHRA PRADESH,05-26-22,28704.11
ANDHRA PRADESH,05-27-22,30816.1
ANDHRA PRADESH,05-28-22,39516.62
ANDHRA PRADESH,05-29-22,26388.67
ANDHRA PRADESH,05-30-22,43945.58
ANDHRA PRADESH,05-31-22,39893.86
ANDHRA PRADESH,06-01-22,52570.38
ANDHRA PRADESH,06-02-22,33077.27
ANDHRA PRADESH,06-03-22,25412.0
ANDHRA PRADESH,06-04-22,43781.63
ANDHRA PRADESH,06-05-22,55198.82
ANDHRA PRADESH,06-06-22,36635.9
ANDHRA PRADESH,06-07-22,41308.95
ANDHRA PRADESH,06-08-22,34681.14
ANDHRA PRADESH,06-09-22,36838.5
ANDHRA PRADESH,06-10-22,27002.0
ANDHRA PRADESH,06-11-22,42208.81
ANDHRA PRADESH,06-12-22,46989.95
ANDHRA PRADESH,06-13-22,51170.74
ANDHRA PRADESH,06-14-22,38439.72
ANDHRA PRADESH,06-15-22,40186.33
ANDHRA PRADESH,06-16-22,31024.33
ANDHRA PRADESH,06-17-22,30688.1
ANDHRA PRADESH,06-18-22,29856.0
ANDHRA PRADESH,06-19-22,29383.29
ANDHRA PRADESH,06-20-22,38867.62
ANDHRA PRADESH,06-21-22,38331.65
ANDHRA PRADESH,06-22-22,25945.05
ANDHRA PRADESH,06-23-22,30512.71
ANDHRA PRADESH,06-24-22,37620.33
ANDHRA PRADESH,06-25-22,30667.11
ANDHRA PRADESH,06-26-22,32831.86
ANDHRA PRADESH,06-27-22,23482.48
ANDHRA PRADESH,06-28-22,35077.0
ANDHRA PRADESH,06-29-22,16346.0
APO,04-03-22,0.0
AR,05-30-22,493.0
ARUNACHAL PRADESH,04-01-22,2784.0
ARUNACHAL PRADESH,04-02-22,499.0
ARUNACHAL PRADESH,04-03-22,1711.0
ARUNACHAL PRADESH,04-04-22,499.0
ARUNACHAL PRADESH,04-05-22,2640.0
ARUNACHAL PRADESH,04-06-22,930.0
ARUNACHAL PRADESH,04-07-22,599.0
ARUNACHAL PRADESH,04-09-22,690.0
ARUNACHAL PRADESH,04-10-22,980.0
ARUNACHAL PRADESH,04-12-22,916.0
ARUNACHAL PRADESH,04-13-22,0.0
ARUNACHAL PRADESH,04-14-22,3028.43
ARUNACHAL PRADESH,04-15-22,3867.05
ARUNACHAL PRADESH,04-16-22,399.0
ARUNACHAL PRADESH,04-17-22,1513.0
ARUNACHAL PRADESH,04-18-22,788.0
ARUNACHAL PRADESH,04-19-22,1115.0
ARUNACHAL PRADESH,04-20-22,4139.0
ARUNACHAL PRADESH,04-21-22,259.0
ARUNACHAL PRADESH,04-23-22,921.9
ARUNACHAL PRADESH,04-25-22,2759.0
ARUNACHAL PRADESH,04-30-22,999.0
ARUNACHAL PRADESH,05-01-22,493.0
ARUNACHAL PRADESH,05-02-22,1806.62
ARUNACHAL PRADESH,05-03-22,899.0
ARUNACHAL PRADESH,05-04-22,3353.0
ARUNACHAL PRADESH,05-05-22,1895.0
ARUNACHAL PRADESH,05-06-22,872.0
ARUNACHAL PRADESH,05-07-22,1493.0
ARUNACHAL PRADESH,05-10-22,5090.0
ARUNACHAL PRADESH,05-12-22,1364.0
ARUNACHAL PRADESH,05-13-22,771.0
ARUNACHAL PRADESH,05-14-22,0.0
ARUNACHAL PRADESH,05-15-22,2067.0
ARUNACHAL PRADESH,05-16-22,1339.0
ARUNACHAL PRADESH,05-19-22,771.0
ARUNACHAL PRADESH,05-20-22,3256.0
ARUNACHAL PRADESH,05-22-22,2372.0
ARUNACHAL PRADESH,05-23-22,1349.0
ARUNACHAL PRADESH,05-25-22,2151.0
ARUNACHAL PRADESH,05-27-22,736.0
ARUNACHAL PRADESH,05-28-22,1068.0
ARUNACHAL PRADESH,05-29-22,1317.0
ARUNACHAL PRADESH,05-30-22,349.0
ARUNACHAL PRADESH,06-01-22,1828.0
ARUNACHAL PRADESH,06-02-22,1600.0
ARUNACHAL PRADESH,06-03-22,1477.0
ARUNACHAL PRADESH,06-05-22,1744.0
ARUNACHAL PRADESH,06-07-22,698.0
ARUNACHAL PRADESH,06-09-22,1759.0
ARUNACHAL PRADESH,06-10-22,1091.0
ARUNACHAL PRADESH,06-11-22,2023.0
ARUNACHAL PRADESH,06-12-22,2653.0
ARUNACHAL PRADESH,06-13-22,2617.0
ARUNACHAL PRADESH,06-14-22,650.0
ARUNACHAL PRADESH,06-15-22,1524.0
ARUNACHAL PRADESH,06-17-22,568.0
ARUNACHAL PRADESH,06-18-22,693.0
ARUNACHAL PRADESH,06-20-22,487.0
ARUNACHAL PRADESH,06-22-22,735.0
ARUNACHAL PRADESH,06-24-22,1656.0
ARUNACHAL PRADESH,06-25-22,1481.0
ARUNACHAL PRADESH,06-26-22,735.0
ARUNACHAL PRADESH,06-27-22,969.0
ARUNACHAL PRADESH,06-28-22,1399.0
ASSAM,04-01-22,14039.0
ASSAM,04-02-22,16684.0
ASSAM,04-03-22,14729.48
ASSAM,04-04-22,15899.0
ASSAM,04-05-22,21323.19
ASSAM,04-06-22,20236.38
ASSAM,04-07-22,16423.48
ASSAM,04-08-22,21631.0
ASSAM,04-09-22,10746.0
ASSAM,04-10-22,14207.0
ASSAM,04-11-22,10733.82
ASSAM,04-12-22,10875.0
ASSAM,04-13-22,15337.0
ASSAM,04-14-22,11864.0
ASSAM,04-15-22,20736.94
ASSAM,04-16-22,12765.43
ASSAM,04-17-22,6954.0
ASSAM,04-18-22,10825.95
ASSAM,04-19-22,15859.14
ASSAM,04-20-22,15570.619999999999
ASSAM,04-21-22,20870.0
ASSAM,04-22-22,16917.76
ASSAM,04-23-22,17577.0
ASSAM,04-24-22,17430.15
ASSAM,04-25-22,9228.0
ASSAM,04-26-22,10659.0
ASSAM,04-27-22,5948.0
ASSAM,04-28-22,12428.54
ASSAM,04-29-22,8161.0
ASSAM,04-30-22,16911.0
ASSAM,05-01-22,14986.75
ASSAM,05-02-22,11154.0
ASSAM,05-03-22,9129.0
ASSAM,05-04-22,8438.71
ASSAM,05-05-22,10661.0
ASSAM,05-06-22,14141.38
ASSAM,05-07-22,12681.0
ASSAM,05-08-22,10063.15
ASSAM,05-09-22,11240.43
ASSAM,05-10-22,10581.0
ASSAM,05-11-22,6277.0
ASSAM,05-12-22,7394.58
ASSAM,05-13-22,6023.0
ASSAM,05-14-22,10989.29
ASSAM,05-15-22,5470.0
ASSAM,05-16-22,13468.0
ASSAM,05-17-22,12596.76
ASSAM,05-18-22,10016.29
ASSAM,05-19-22,7607.0
ASSAM,05-20-22,10431.0
ASSAM,05-21-22,7457.0
ASSAM,05-22-22,8615.0
ASSAM,05-23-22,3478.0
ASSAM,05-24-22,9840.0
ASSAM,05-25-22,8425.0
ASSAM,05-26-22,4858.0
ASSAM,05-27-22,10836.77
ASSAM,05-28-22,6501.0
ASSAM,05-29-22,8762.43
ASSAM,05-30-22,4241.0
ASSAM,05-31-22,13843.57
ASSAM,06-01-22,8938.95
ASSAM,06-02-22,18112.0
ASSAM,06-03-22,8557.0
ASSAM,06-04-22,12836.0
ASSAM,06-05-22,13322.57
ASSAM,06-06-22,11273.0
ASSAM,06-07-22,10001.0
ASSAM,06-08-22,8183.0
ASSAM,06-09-22,11536.0
ASSAM,06-10-22,11735.57
ASSAM,06-11-22,4707.0
ASSAM,06-12-22,10373.1
ASSAM,06-13-22,11786.1
ASSAM,06-14-22,5579.0
ASSAM,06-15-22,5126.0
ASSAM,06-16-22,9194.0
ASSAM,06-17-22,11847.0
ASSAM,06-18-22,6727.0
ASSAM,06-19-22,11679.57
ASSAM,06-20-22,14157.0
ASSAM,06-21-22,10099.0
ASSAM,06-22-22,9559.0
ASSAM,06-23-22,14609.0
ASSAM,06-24-22,9231.71
ASSAM,06-25-22,7032.0
ASSAM,06-26-22,8468.86
ASSAM,06-27-22,9067.9
ASSAM,06-28-22,13254.88
ASSAM,06-29-22,7365.0
Arunachal Pradesh,04-03-22,1235.0
Arunachal Pradesh,05-07-22,700.0
Arunachal pradesh,05-05-22,301.0
Arunachal pradesh,05-12-22,301.0
BIHAR,03-31-22,4637.0
BIHAR,04-01-22,17481.0
BIHAR,04-02-22,20191.95
BIHAR,04-03-22,20572.86
BIHAR,04-04-22,15179.0
BIHAR,04-05-22,12129.95
BIHAR,04-06-22,18752.89
BIHAR,04-07-22,27294.56
BIHAR,04-08-22,15197.0
BIHAR,04-09-22,7103.0
BIHAR,04-10-22,14947.86
BIHAR,04-11-22,14942.86
BIHAR,04-12-22,17223.77
BIHAR,04-13-22,15646.86
BIHAR,04-14-22,23979.25
BIHAR,04-15-22,23877.0
BIHAR,04-16-22,21500.66
BIHAR,04-17-22,12777.0
BIHAR,04-18-22,25583.86
BIHAR,04-19-22,23118.2
BIHAR,04-20-22,26006.05
BIHAR,04-21-22,20902.54
BIHAR,04-22-22,21829.86
BIHAR,04-23-22,20609.48
BIHAR,04-24-22,21124.32
BIHAR,04-25-22,17466.08
BIHAR,04-26-22,12056.0
BIHAR,04-27-22,10905.9
BIHAR,04-28-22,11831.0
BIHAR,04-29-22,25912.64
BIHAR,04-30-22,24603.71
BIHAR,05-01-22,11579.0
BIHAR,05-02-22,20164.0
BIHAR,05-03-22,21205.86
BIHAR,05-04-22,32761.33
BIHAR,05-05-22,16376.43
BIHAR,05-06-22,17713.81
BIHAR,05-07-22,6571.0
BIHAR,05-08-22,18909.28
BIHAR,05-09-22,13983.76
BIHAR,05-10-22,9902.380000000001
BIHAR,05-11-22,7298.0
BIHAR,05-12-22,18542.0
BIHAR,05-13-22,11238.2
BIHAR,05-14-22,14372.74
BIHAR,05-15-22,11987.14
BIHAR,05-16-22,6225.0
BIHAR,05-17-22,22097.33
BIHAR,05-18-22,11063.95
BIHAR,05-19-22,18311.15
BIHAR,05-20-22,12192.86
BIHAR,05-21-22,18191.82
BIHAR,05-22-22,14198.47
BIHAR,05-23-22,8578.0
BIHAR,05-24-22,15389.0
BIHAR,05-25-22,11813.0
BIHAR,05-26-22,4949.0
BIHAR,05-27-22,13034.0
BIHAR,05-28-22,19454.0
BIHAR,05-29-22,7147.0
BIHAR,05-30-22,10706.14
BIHAR,05-31-22,12189.0
BIHAR,06-01-22,17036.19
BIHAR,06-02-22,14199.0
BIHAR,06-03-22,9895.71
BIHAR,06-04-22,16487.0
BIHAR,06-05-22,18532.0
BIHAR,06-06-22,15102.19
BIHAR,06-07-22,12125.0
BIHAR,06-08-22,18349.52
BIHAR,06-09-22,12337.0
BIHAR,06-10-22,10528.0
BIHAR,06-11-22,13021.0
BIHAR,06-12-22,16440.0
BIHAR,06-13-22,12282.39
BIHAR,06-14-22,12169.0
BIHAR,06-15-22,10969.39
BIHAR,06-16-22,15395.1
BIHAR,06-17-22,16723.0
BIHAR,06-18-22,13436.0
BIHAR,06-19-22,15967.0
BIHAR,06-20-22,11050.0
BIHAR,06-21-22,14885.64
BIHAR,06-22-22,18311.0
BIHAR,06-23-22,4484.0
BIHAR,06-24-22,13694.43
BIHAR,06-25-22,12638.0
BIHAR,06-26-22,12566.0
BIHAR,06-27-22,13531.0
BIHAR,06-28-22,10443.0
BIHAR,06-29-22,8262.0
Bihar,04-04-22,1235.0
Bihar,04-06-22,452.0
Bihar,04-07-22,399.0
Bihar,04-09-22,459.0
Bihar,04-10-22,690.0
Bihar,04-11-22,533.0
Bihar,04-16-22,696.0
Bihar,04-18-22,1112.0
Bihar,04-19-22,1133.0
Bihar,04-20-22,1071.0
Bihar,04-21-22,788.0
Bihar,04-26-22,654.0
Bihar,04-27-22,1186.0
Bihar,04-28-22,518.0
Bihar,05-01-22,788.0
Bihar,05-05-22,1814.0
Bihar,05-08-22,725.0
Bihar,05-20-22,1349.0
Bihar,06-10-22,1488.0
Bihar,06-15-22,908.0
Bihar,06-21-22,913.0
Bihar,06-29-22,882.0
CHANDIGARH,03-31-22,353.0
CHANDIGARH,04-01-22,4175.0
CHANDIGARH,04-02-22,473.0
CHANDIGARH,04-03-22,923.0
CHANDIGARH,04-05-22,2925.0
CHANDIGARH,04-06-22,1197.0
CHANDIGARH,04-07-22,3367.0
CHANDIGARH,04-08-22,4044.0
CHANDIGARH,04-10-22,681.0
CHANDIGARH,04-11-22,1902.0
CHANDIGARH,04-12-22,820.0
CHANDIGARH,04-13-22,3481.86
CHANDIGARH,04-14-22,1653.0
CHANDIGARH,04-15-22,1421.0
CHANDIGARH,04-16-22,1762.0
CHANDIGARH,04-17-22,1231.71
CHANDIGARH,04-18-22,4877.0
CHANDIGARH,04-19-22,1386.0
CHANDIGARH,04-20-22,2870.0
CHANDIGARH,04-21-22,1914.0
CHANDIGARH,04-22-22,6734.0
CHANDIGARH,04-23-22,7513.0
CHANDIGARH,04-24-22,2711.0
CHANDIGARH,04-25-22,5902.0
CHANDIGARH,04-26-22,1901.0
CHANDIGARH,04-28-22,2477.76
CHANDIGARH,04-29-22,2100.0
CHANDIGARH,04-30-22,1213.0
CHANDIGARH,05-01-22,3358.0
CHANDIGARH,05-02-22,1287.0
CHANDIGARH,05-03-22,2659.5699999999997
CHANDIGARH,05-04-22,2503.0
CHANDIGARH,05-05-22,5726.8099999999995
CHANDIGARH,05-06-22,2723.0
CHANDIGARH,05-07-22,2814.0
CHANDIGARH,05-08-22,5424.0
CHANDIGARH,05-09-22,3903.0
CHANDIGARH,05-11-22,2696.0
CHANDIGARH,05-14-22,5720.0
CHANDIGARH,05-15-22,6406.0
CHANDIGARH,05-16-22,4552.0
CHANDIGARH,05-18-22,3632.0
CHANDIGARH,05-19-22,2703.67
CHANDIGARH,05-20-22,1481.0
CHANDIGARH,05-21-22,1925.0
CHANDIGARH,05-22-22,1061.0
CHANDIGARH,05-23-22,1345.0
CHANDIGARH,05-25-22,1935.0
CHANDIGARH,05-26-22,3503.0
CHANDIGARH,05-27-22,2386.0
CHANDIGARH,05-29-22,777.0
CHANDIGARH,05-30-22,788.0
CHANDIGARH,05-31-22,2434.0
CHANDIGARH,06-01-22,3130.71
CHANDIGARH,06-02-22,1427.0
CHANDIGARH,06-03-22,3145.0
CHANDIGARH,06-05-22,3492.0
CHANDIGARH,06-06-22,1764.48
CHANDIGARH,06-08-22,1534.0
CHANDIGARH,06-09-22,1883.0
CHANDIGARH,06-10-22,3052.0
CHANDIGARH,06-11-22,4414.0
CHANDIGARH,06-12-22,2226.0
CHANDIGARH,06-13-22,2698.0
CHANDIGARH,06-14-22,3662.0
CHANDIGARH,06-15-22,1921.0
CHANDIGARH,06-16-22,2293.67
CHANDIGARH,06-17-22,1643.0
CHANDIGARH,06-18-22,3040.43
CHANDIGARH,06-19-22,800.0
CHANDIGARH,06-20-22,1075.0
CHANDIGARH,06-21-22,1195.0
CHANDIGARH,06-23-22,2912.0
CHANDIGARH,06-24-22,1281.0
CHANDIGARH,06-25-22,1542.0
CHANDIGARH,06-26-22,3127.0
CHANDIGARH,06-27-22,1833.38
CHANDIGARH,06-28-22,376.0
CHANDIGARH,06-29-22,1467.0
CHHATTISGARH,03-31-22,899.0
CHHATTISGARH,04-01-22,5878.9
CHHATTISGARH,04-02-22,8629.24
CHHATTISGARH,04-03-22,9004.0
CHHATTISGARH,04-04-22,7763.95
CHHATTISGARH,04-05-22,6375.24
CHHATTISGARH,04-06-22,4520.0
CHHATTISGARH,04-07-22,5325.0
CHHATTISGARH,04-08-22,4016.0
CHHATTISGARH,04-09-22,9219.05
CHHATTISGARH,04-10-22,2965.0
CHHATTISGARH,04-11-22,8934.0
CHHATTISGARH,04-12-22,9424.0
CHHATTISGARH,04-13-22,5944.76
CHHATTISGARH,04-14-22,8881.46
CHHATTISGARH,04-15-22,4314.36
CHHATTISGARH,04-16-22,6465.0
CHHATTISGARH,04-17-22,9697.02
CHHATTISGARH,04-18-22,9561.0
CHHATTISGARH,04-19-22,9464.24
CHHATTISGARH,04-20-22,7120.0
CHHATTISGARH,04-21-22,7229.95
CHHATTISGARH,04-22-22,5292.0
CHHATTISGARH,04-23-22,8049.0
CHHATTISGARH,04-24-22,3894.0
CHHATTISGARH,04-25-22,13551.0
CHHATTISGARH,04-26-22,9998.71
CHHATTISGARH,04-27-22,7557.860000000001
CHHATTISGARH,04-28-22,11505.05
CHHATTISGARH,04-29-22,8843.0
CHHATTISGARH,04-30-22,7556.860000000001
CHHATTISGARH,05-01-22,11230.0
CHHATTISGARH,05-02-22,6321.0
CHHATTISGARH,05-03-22,7881.0
CHHATTISGARH,05-04-22,9625.0
CHHATTISGARH,05-05-22,2745.0
CHHATTISGARH,05-06-22,4442.0
CHHATTISGARH,05-07-22,8242.0
CHHATTISGARH,05-08-22,6761.54
CHHATTISGARH,05-09-22,4674.0
CHHATTISGARH,05-10-22,6449.0
CHHATTISGARH,05-11-22,4598.1
CHHATTISGARH,05-12-22,11380.73
CHHATTISGARH,05-13-22,4725.8099999999995
CHHATTISGARH,05-14-22,5514.0
CHHATTISGARH,05-15-22,3634.0
CHHATTISGARH,05-16-22,4082.0
CHHATTISGARH,05-17-22,7924.43
CHHATTISGARH,05-18-22,6560.62
CHHATTISGARH,05-19-22,5968.0
CHHATTISGARH,05-20-22,1691.0
CHHATTISGARH,05-21-22,6426.38
CHHATTISGARH,05-22-22,4367.0
CHHATTISGARH,05-23-22,11291.0
CHHATTISGARH,05-24-22,5393.0
CHHATTISGARH,05-25-22,2580.0
CHHATTISGARH,05-26-22,4327.0
CHHATTISGARH,05-27-22,4955.57
CHHATTISGARH,05-28-22,8148.0
CHHATTISGARH,05-29-22,6001.0
CHHATTISGARH,05-30-22,7761.0
CHHATTISGARH,05-31-22,3948.0
CHHATTISGARH,06-01-22,4743.24
CHHATTISGARH,06-02-22,3044.0
CHHATTISGARH,06-03-22,1296.0
CHHATTISGARH,06-04-22,6270.0
CHHATTISGARH,06-05-22,7915.0
CHHATTISGARH,06-06-22,3898.0
CHHATTISGARH,06-07-22,4738.0
CHHATTISGARH,06-08-22,7446.29
CHHATTISGARH,06-09-22,5748.0
CHHATTISGARH,06-10-22,3770.0
CHHATTISGARH,06-11-22,6119.79
CHHATTISGARH,06-12-22,8584.0
CHHATTISGARH,06-13-22,5347.0
CHHATTISGARH,06-14-22,6063.38
CHHATTISGARH,06-15-22,1369.0
CHHATTISGARH,06-16-22,5339.0
CHHATTISGARH,06-17-22,6896.0
CHHATTISGARH,06-18-22,3039.24
CHHATTISGARH,06-19-22,6685.0
CHHATTISGARH,06-20-22,7122.0
CHHATTISGARH,06-21-22,8318.72
CHHATTISGARH,06-22-22,10368.0
CHHATTISGARH,06-23-22,4525.0
CHHATTISGARH,06-24-22,3238.1
CHHATTISGARH,06-25-22,5038.43
CHHATTISGARH,06-26-22,4711.81
CHHATTISGARH,06-27-22,3093.0
CHHATTISGARH,06-28-22,6298.0
CHHATTISGARH,06-29-22,1936.0
Chandigarh,04-08-22,950.0
Chandigarh,04-12-22,1099.0
Chandigarh,04-14-22,1556.0
Chandigarh,05-04-22,759.0
Chandigarh,05-28-22,2442.62
Chandigarh,06-01-22,869.0
Chandigarh,06-15-22,869.0
Chandigarh,06-19-22,510.0
DADRA AND NAGAR,04-01-22,1147.0
DADRA AND NAGAR,04-03-22,426.0
DADRA AND NAGAR,04-04-22,775.0
DADRA AND NAGAR,04-05-22,1424.0
DADRA AND NAGAR,04-06-22,683.0
DADRA AND NAGAR,04-08-22,751.0
DADRA AND NAGAR,04-10-22,788.0
DADRA AND NAGAR,04-11-22,329.0
DADRA AND NAGAR,04-13-22,859.0
DADRA AND NAGAR,04-15-22,399.0
DADRA AND NAGAR,04-16-22,1195.0
DADRA AND NAGAR,04-18-22,1320.9
DADRA AND NAGAR,04-19-22,799.0
DADRA AND NAGAR,04-20-22,299.0
DADRA AND NAGAR,04-22-22,859.0
DADRA AND NAGAR,04-23-22,329.0
DADRA AND NAGAR,04-24-22,1432.0
DADRA AND NAGAR,04-26-22,759.0
DADRA AND NAGAR,04-30-22,2197.0
DADRA AND NAGAR,05-01-22,3847.54
DADRA AND NAGAR,05-02-22,499.0
DADRA AND NAGAR,05-03-22,1589.0
DADRA AND NAGAR,05-04-22,399.0
DADRA AND NAGAR,05-07-22,385.0
DADRA AND NAGAR,05-10-22,1548.0
DADRA AND NAGAR,05-11-22,2610.0
DADRA AND NAGAR,05-13-22,1798.0
DADRA AND NAGAR,05-14-22,713.0
DADRA AND NAGAR,05-15-22,1467.0
DADRA AND NAGAR,05-17-22,487.0
DADRA AND NAGAR,05-23-22,0.0
DADRA AND NAGAR,06-01-22,435.0
DADRA AND NAGAR,06-07-22,1128.24
DADRA AND NAGAR,06-08-22,435.24
DADRA AND NAGAR,06-10-22,1060.0
DADRA AND NAGAR,06-12-22,2106.0
DADRA AND NAGAR,06-14-22,0.0
DADRA AND NAGAR,06-15-22,1399.0
DADRA AND NAGAR,06-16-22,1283.0
DADRA AND NAGAR,06-21-22,1031.0
